Nível,Indicador,2018,Unidade
2,Trabalho,,
2.1,Taxa de participação,,
2.1.1,Total,62.0,%
2.1.2,Brancos,62.8,%
2.1.3,Pretos ou pardos,61.4,%
2.2,Nível de ocupação,,
2.2.1,Total,54.6,%
2.2.2,Brancos,56.8,%
2.2.3,Pretos ou pardos,52.7,%
2.3,Taxa de desocupação,,
2.3.1,Total,12.0,%
2.3.2,Brancos,9.5,%
2.3.3,Pretos ou pardos,14.1,%
2.4,Taxa composta de subutilização,,
2.4.1,Total,24.6,%
2.4.2,Brancos,18.8,%
2.4.3,Pretos ou pardos,29.0,%
2.5,Taxa de desocupação,,
2.5.1,Pessoas de 14 anos ou mais de idade,,
2.5.1.1,Total,12.0,%
2.5.1.2,Brancos,9.5,%
2.5.1.3,Pretos ou pardos,14.1,%
2.6,Taxa composta de subutilização,,
2.6.1,Pessoas de 14 anos ou mais de idade,,
2.6.1.1,Total,24.6,%
2.6.1.2,Brancos,18.8,%
2.6.1.3,Pretos ou pardos,29.0,%
2.7,Pessoas de 14 anos ou mais de idade,,
2.7.1,Ocupadas na semana de referência,,
2.7.1.1,Ocupações informais,,
2.7.1.1.1,Total,41.5,%
2.7.1.1.2,Brancos,34.6,%
2.7.1.1.3,Pretos ou pardos,47.3,%
2.8,Rendimento médio real habitual do trabalho principal,,
2.8.1,Pessoas de 14 anos ou mais de idade,,
2.8.1.1,Ocupadas na semana de referência,,
2.8.1.1.1,Ocupações formais e informais,,
2.8.1.1.1.1,Total,2163.0,R$
2.8.1.1.1.2,Brancos,2796.0,R$
2.8.1.1.1.3,Pretos ou pardos,1608.0,R$
2.8.1.1.2,Ocupações formais,,
2.8.1.1.2.1,Total,2708.0,R$
2.8.1.1.2.2,Brancos,3282.0,R$
2.8.1.1.2.3,Pretos ou pardos,2082.0,R$
2.8.1.1.3,Ocupações informais,,
2.8.1.1.3.1,Total,1345.0,R$
2.8.1.1.3.2,Brancos,1814.0,R$
2.8.1.1.3.3,Pretos ou pardos,1050.0,R$
2.9,Rendimento habitual do trabalho principal,,
2.9.1,Pessoas de 14 anos ou mais de idade,,
2.9.1.1,Ocupadas,,
2.9.1.1.1,Total,2163.0,R$
2.9.1.1.2,Brancos,2796.0,R$
2.9.1.1.3,Pretos ou pardos,1608.0,R$
2.10,Rendimento-hora médio real habitual do trabalho principal,,
2.10.1,Pessoas de 14 anos ou mais de idade,,
2.10.1.1,Ocupadas na semana de referência,,
2.10.1.1.1,Total,13.3,R$
2.10.1.1.2,Brancos,17.0,R$
2.10.1.1.3,Pretos ou pardos,10.1,R$
2.11,Pessoas ocupadas,,
2.11.1,Brancos,45.2,%
2.11.2,Pretos ou pardos,53.7,%
2.12,Participação de pessoas ocupadas,,
2.12.1,Em cargos gerenciais,,
2.12.1.1,Brancos,68.6,%
2.12.1.2,Pretos ou pardos,29.9,%
