novela_name,White,Latin,Black,aired,aired_year
A Dona do Pedaço,31,12,4,20 May 2019,2019
A Favorita,40,12,4,2 June 2008,2008
A Força do Querer,28,11,2,3 April 2017,2017
A Lei do Amor,39,15,3,3 October 2016,2016
A Lua Me Disse,28,21,5,18 April 2005,2005
A Padroeira,20,10,6,18 June 2001,2001
A Regra do Jogo,29,14,7,31 August 2015,2015
A Vida da Gente,34,14,2,26 September 2011,2011
Agora É que São Elas,36,7,3,24 March 2003,2003
Alma Gêmea,31,15,3,20 June 2005,2005
Alto Astral,33,13,1,3 November 2014,2014
Além do Horizonte,32,14,3,4 November 2013,2013
Além do Tempo,59,25,4,13 July 2015,2015
Amor Eterno Amor,34,17,3,5 March 2012,2012
Amor de Mãe,27,13,5,25 November 2019,2019
Amor à Vida,50,24,0,20 May 2013,2013
Araguaia,26,15,4,27 September 2010,2010
As Filhas da Mãe,22,15,0,27 August 2001,2001
Avenida Brasil,31,11,4,26 March 2012,2012
Bang Bang,26,11,4,3 October 2005,2005
Beleza Pura,26,10,0,18 February 2008,2008
Belíssima,32,15,2,7 November 2005,2005
Bom Sucesso,25,14,13,29 July 2019,2019
Boogie Oogie,34,12,3,4 August 2014,2014
Caminho das Índias,44,24,4,19 January 2009,2009
Caras & Bocas,37,18,6,13 April 2009,2009
Cheias de Charme,30,19,8,16 April 2012,2012
Chocolate com Pimenta,28,18,5,8 September 2003,2003
Ciranda de Pedra,36,15,5,5 May 2008,2008
Cobras & Lagartos,26,15,3,24 April 2006,2006
Como uma Onda,26,10,5,22 November 2004,2004
Coração de Estudante,26,14,2,25 February 2002,2002
Cordel Encantado,43,18,3,11 April 2011,2011
Da Cor do Pecado,24,10,4,26 January 2004,2004
Desejo Proibido,29,14,4,5 November 2007,2007
Desejos de Mulher,32,10,3,21 January 2002,2002
Deus Salve o Rei,29,9,0,9 January 2018,2018
Duas Caras,50,20,10,1 October 2007,2007
Em Família,31,23,8,3 February 2014,2014
Escrito nas Estrelas,39,14,4,12 April 2010,2010
Espelho da Vida,35,25,1,25 September 2018,2018
Esperança,22,15,2,14 June 2002,2002
Esplendor,20,10,1,31 January 2000,2000
Estrela-Guia,21,14,2,12 March 2001,2001
Eterna Magia,33,17,2,14 May 2007,2007
Fina Estampa,41,20,3,22 August 2011,2011
Flor do Caribe,29,16,2,11 March 2013,2013
Geração Brasil,31,17,9,5 May 2014,2014
Guerra dos Sexos,22,9,1,1 October 2012,2012
Haja Coração,27,12,2,31 May 2016,2016
I Love Paraisópolis,33,19,6,11 May 2015,2015
Império,39,17,4,21 July 2014,2014
Insensato Coração,46,21,2,17 January 2011,2011
Joia Rara,39,23,5,16 September 2013,2013
Kubanacan,25,15,2,5 May 2003,2003
Lado a Lado,27,17,5,10 September 2012,2012
Laços de Família,28,14,3,5 June 2000,2000
"Liberdade, Liberdade",26,7,7,11 April 2016,2016
Meu Pedacinho de Chão,22,5,2,7 April 2014,2014
Morde & Assopra,38,22,2,21 March 2011,2011
Mulheres Apaixonadas,44,27,3,17 February 2003,2003
Negócio da China,36,16,3,6 October 2008,2008
Novo Mundo,21,15,3,22 March 2017,2017
O Beijo do Vampiro,28,8,3,26 August 2002,2002
O Clone,38,25,5,1 October 2001,2001
O Cravo e a Rosa,19,11,1,26 June 2000,2000
O Outro Lado do Paraíso,30,20,7,23 October 2017,2017
O Profeta,35,14,2,16 October 2006,2006
O Rebu,26,13,2,14 July 2014,2014
O Sétimo Guardião,34,21,5,12 November 2018,2018
Onde Nascem os Fortes,20,13,0,23 April 2018,2018
Orgulho e Paixão,30,15,5,20 March 2018,2018
Os Dias Eram Assim,35,18,6,17 April 2017,2017
Paraíso,19,12,8,16 March 2009,2009
Paraíso Tropical,36,13,5,5 March 2007,2007
Pega Pega,28,23,4,6 June 2017,2017
Porto dos Milagres,32,20,2,5 February 2001,2001
Páginas da Vida,48,24,4,10 July 2006,2006
Pé na Jaca,28,13,1,20 November 2006,2006
Rock Story,30,9,5,9 November 2016,2016
Sabor da Paixão,33,14,3,30 July 2002,2002
Sangue Bom,45,21,2,29 April 2013,2013
Segundo Sol,24,16,8,14 May 2018,2018
Senhora do Destino,35,23,4,28 June 2004,2004
Sete Pecados,34,25,5,18 June 2007,2007
Sete Vidas,26,11,1,9 March 2015,2015
Sinhá Moça,20,9,11,13 March 2006,2006
Sol Nascente,23,12,5,29 August 2016,2016
Tempo de Amar,27,12,5,26 September 2017,2017
Tempos Modernos,30,18,5,11 January 2010,2010
Ti Ti Ti,44,11,3,19 July 2010,2010
Totalmente Demais,32,13,8,9 November 2015,2015
Uga-Uga,23,19,1,8 May 2000,2000
Um Anjo Caiu do Céu,22,12,2,22 January 2001,2001
Velho Chico,14,11,6,14 March 2016,2016
Verdades Secretas,25,19,0,8 June 2015,2015
Verão 90,29,10,3,29 January 2019,2019
Viver a Vida,33,15,3,14 September 2009,2009
Éramos Seis,21,12,3,30 September 2019,2019
Êta Mundo Bom!,28,19,2,18 January 2016,2016
Órfãos da Terra,22,17,4,2 April 2019,2019
